                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age   AVG   OBP   SPC  AB   H  2B  3B  HR   R RBI HBP  BB   K  SB  CS 
Curtis Mead                      3b  24  31 132   0   0   5  .584     9.8  2.6  .064  .460  .096   8  38 
Curtis Mead                      2b  24  32 132   0   1   4  .657    12.8  3.6  .113  .628  .243   6  39 
Jacob Melton*                    cf  24  22  78   0   0   2  .419     3.4  1.4  .029  .429  .186   1  13 
Graham Pauley*                   3b  24  53 184   1   1   1  .678    20.3  4.3  .143  .651  .286  14  59 
Liover Peguero                   ss  24  23  88   0   0   3  .635     7.9  3.2  .163  .612  .287   5  29 
Ryan Ritter                      ss  24  58 207   4   1   7  .632    17.9  3.1  .096  .540  .160  13  63 
Dalton Rushing*                  c   24  38 155   0   2   1  .582    12.6  2.9  .120  .500  .190   9  46 
Chandler Simpson*                cf  24 101 441   3   2  10  .671    47.5  4.0  .051  .659  .176  18 143 
Colby Thomas                     rf  24  29 132   1   3   3  .684    13.0  3.5  .192  .619  .258  11  50 
George Valera*                   dh  24  12  48   0   0   1  .748     5.9  4.8  .195  .727  .366   4  17 
Jorbit Vivas*                    2b  24  21  66   0   0   0  .516     4.3  2.5  .089  .468  .179   3  14 
Ben Williamson                   3b  24  79 295   2   0   5  .604    25.4  3.2  .058  .502  .126  14  86 
Jordyn Adams                     cf  25   1   5   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Will Banfield                    c   25   2  10   0   0   1  .200     0.0  0.0  .000  .100  .000   0   1 
Tyler Callihan*                  lf  25   3   6   0   0   0  .333     0.2  0.9  .000  .200  .000   0   1 
Alexander Canario                lf  25  57 234   0   1   5  .611    19.7  3.0  .120  .531  .208  13  73 
Denzel Clarke                    cf  25  44 159   2   0   1  .646    16.2  3.7  .142  .609  .223  13  55 
Kenedy Corona                    cf  25   1   4   0   0   0  .500     0.3  3.5  .000 1.000 1.000   0   0 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Caleb Durbin                     3b  25 122 506   3   4  10  .721    59.8  4.6  .130  .703  .225  36 172 
Dustin Harris*                   lf  25  11  43   0   0   1  .606     3.2  2.5  .150  .529  .225   4  14 
Heriberto Hernandez              lf  25  73 294   0   4   6  .784    39.9  5.4  .172  .754  .293  23 112 
Jeremiah Jackson                 rf  25  44 183   0   0   6  .775    22.6  4.6  .171  .679  .224  17  76 
Jarred Kelenic*                  rf  25  20  65   0   0   1  .531     3.9  2.0  .133  .442  .200   4  18 
Otto Kemp                        3b  25  55 218   0   2   4  .709    23.8  4.0  .178  .650  .239  19  81 
Jonathan Ornelas                 3b  25   1   4   0   0   0 1.000     1.0 13.5  .000 1.000  .000   0   2 
Jonathan Ornelas                 ss  25   1   6   0   0   0  .167     0.0  0.2  .000  .200  .200   0   0 
Tirso Ornelas*                   lf  25   5  16   0   0   1  .259     0.2  0.4  .000  .214  .143   0   1 
Oswald Peraza                    3b  25  68 265   0   1   6  .473    14.3  1.8  .086  .424  .193  11  61 
Oswald Peraza                    1b  25  22  95   0   1   3  .512     6.1  2.2  .081  .493  .221   3  23 
Oswald Peraza                    3b  25  46 170   0   0   3  .452     8.3  1.6  .089  .387  .177   8  38 
Tristan Peters*                  cf  25   4  12   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Alan Roden*                      lf  25  39 153   0   3   0  .556    11.7  2.8  .103  .495  .162   9  40 
Alan Roden*                      lf  25   9  40   0   0   0  .463     2.2  1.9  .105  .406  .132   2  10 
Alan Roden*                      lf  25  30 113   0   3   0  .589     9.5  3.1  .102  .532  .173   7  30 
Johnathan Rodriguez              rf  25  21  77   0   0   2  .626     6.6  3.0  .169  .559  .268   7  26 
Ronny Simon#                     2b  25  22  88   1   2   1  .572     7.1  3.1  .039  .500  .156   3  21 
Ronny Simon#                     rf  25   7  32   0   1   0  .517     2.3  2.6  .033  .435  .100   1   8 
Ronny Simon#                     2b  25  15  56   1   1   1  .604     4.8  3.3  .043  .541  .191   2  13 
Rhylan Thomas*                   rf  25   2  10   0   1   0  .450     0.6  1.9  .125  .429  .250   1   2 
Luis Vazquez                     ss  25  12  53   0   0   0  .448     2.9  1.8  .080  .405  .180   2  12 
Gage Workman*                    3b  25   5  17   0   0   0  .485     1.1  2.3  .063  .462  .188   1   4 
Gage Workman*                    3b  25   4  15   0   0   0  .552     1.3  3.1  .071  .545  .214   1   4 
Gage Workman*                    3b  25   1   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Akil Baddoo*                     lf  26   5  18   0   0   0  .343     0.6  1.1  .059  .333  .176   1   3 
Steward Berroa#                  cf  26   2   6   0   0   0  .167     0.1  0.7  .000  .400  .400   0   0 
Dylan Carlson#                   lf  26  62 241   0   1   3  .614    20.5  3.1  .134  .553  .230  16  73 
Billy Cook                       cf  26   1   6   0   0   0  .667     0.7  4.5  .000  .500  .000   0   2 
Blake Dunn                       rf  26  18  75   0   0   1  .553     5.4  2.8  .083  .566  .217   3  14 
Tim Elko                         1b  26  20  72   0   0   1  .523     4.3  2.0  .194  .475  .284   5  22 
Justin Foscue                    1b  26   3   9   0   0   0  .333     0.2  0.8  .111  .250  .111   1   2 
Braxton Fulford                  c   26  32 120   0   3   1  .591    10.2  3.1  .111  .523  .185   8  35 
Liam Hicks*                      c   26  92 390   3   3   5  .693    43.9  4.5  .099  .663  .235  20 115 
Niko Kavadas*                    1b  26   7  23   0   0   0  .317     0.6  0.9  .000  .278  .150   0   2 
Buddy Kennedy                    3b  26  10  32   0   0   0  .260     0.6  0.6  .034  .222  .103   1   3 
Buddy Kennedy                    3b  26   6  18   0   0   0  .170     0.1  0.2  .000  .125  .000   0   1 
Buddy Kennedy                    1b  26   2   8   0   0   0  .125     0.0  0.1  .000  .143  .143   0   0 
Buddy Kennedy                    3b  26   2   6   0   0   0  .733     0.8  5.1  .200  .750  .400   1   2 
Hyeseong Kim*                    2b  26  45 170   1   0   0  .699    21.8  5.0  .106  .709  .224  10  62 
Cesar Prieto*                    2b  26   1   6   0   0   0  .333     0.2  0.9  .000  .200  .000   0   1 
Sebastian Rivero                 c   26  10  34   0   0   0  .448     1.8  1.8  .061  .370  .121   2   8 
Anthony Seigler*                 3b  26  17  73   1   1   2  .501     4.5  2.3  .016  .462  .177   1  13 
Bob Seymour*                     1b  26  22  83   0   0   0  .535     6.0  2.6  .077  .452  .141   3  22 
Chad Stevens                     2b  26   5  14   1   0   0  .308     0.2  0.4  .000  .167 -0.07   0   2 
Leody Taveras#                   rf  26  24  98   2   1   0  .470     5.0  1.7  .098  .397  .141   5  25 
Leody Taveras#                   cf  26  24  82   1   0   0  .601     7.6  3.3  .101  .574  .190   5  27 
Tim Tawa                         2b  26  49 225   2   3   6  .620    19.1  3.0  .146  .587  .276  15  69 
Samad Taylor                     rf  26   2   9   1   0   0  .250     0.2  0.6  .000  .143  .000   0   1 
Bryce Teodosio                   cf  26  49 150   1   2   2  .553    11.2  2.6  .101  .513  .181  10  42 
Ryan Vilade                      rf  26   3  15   0   0   1  .277     0.2  0.4  .000  .231  .154   0   1 
Ryan Vilade                      rf  26   3  15   0   0   1  .277     0.2  0.4  .000  .231  .154   0   1 
Will Wagner*                     3b  26  36 149   1   0   3  .603    12.7  3.3  .054  .544  .194   7  36 
Will Wagner*                     2b  26   0  17   0   0   1  .369     0.4  0.9  .000  .286  .133   0   2 
Will Wagner*                     3b  26  36 132   1   0   2  .634    12.6  3.8  .061  .584  .202   7  34 
Drew Waters#                     lf  26  55 219   0   0   2  .603    18.8  3.2  .073  .516  .136  10  65 
Shay Whitcomb                    2b  26   6  32   0   0   0  .344     0.9  0.8  .094  .250  .094   1   7 
Joey Wiemer                      rf  26  15  61   0   2   0  .715     7.2  4.4  .200  .667  .236   5  24 
Will Wilson                      3b  26  24  91   5   0   1  .511     6.0  2.3  .051  .453  .167   4  19 
Jack Winkler                     2b  26   4  16   0   0   0  .625     1.6  3.7  .125  .583  .188   2   6 
Brett Wisely*                    2b  26   3   9   0   0   0  .333     0.3  1.2  .000  .500  .500   0   0 
Brett Wisely*                    2b  26  13  54   2   0   0  .623     4.7  3.1  .146  .564  .229   5  17 
Jose Barrero                     ss  27   8  31   0   0   0  .469     1.6  1.8  .138  .400  .172   2   8 
Vidal Brujan#                    ss  27   8  47   0   0   0  .679     5.3  4.7  .049  .633  .171   2  13 
Vidal Brujan#                    3b  27  10  47   0   1   1  .523     2.8  2.0  .067  .432  .111   3  13 
Vidal Brujan#                    cf  27   0   1   0   0   0 2.000     1.0  0.0  .000  .000  .000   0   1 
Gustavo Campero#                 rf  27  16  66   0   0   2  .618     5.5  2.9  .172  .627  .310   4  20 
Isaac Collins#                   lf  27 100 441   3   3   8  .779    59.9  5.5  .148  .803  .325  34 153 
Logan Davidson#                  1b  27  11  47   2   0   1  .508     2.6  1.9  .119  .417  .190   3  12 
Logan Davidson#                  1b  27   6  23   1   0   0  .545     1.5  2.1  .182  .444  .182   2   8 
Logan Davidson#                  1b  27   5  24   1   0   1  .461     1.1  1.6  .050  .389  .200   1   4 
Oliver Dunn*                     3b  27  11  41   2   1   0  .427     2.1  1.7  .056  .367  .139   2   8 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Oscar Gonzalez                   lf  27  16  61   0   0   1  .483     3.1  1.7  .017  .333  .034   1  14 
Matt Gorski                      1b  27  10  42   0   0   1  .605     2.7  2.1  .195  .486  .195   3  16 
Maverick Handley                 c   27  14  47   2   1   0  .207     0.7  0.4 -0.00  .158  .049   0   3 
Sam Huff                         c   27  18  58   0   1   2  .598     4.4  2.6  .132  .500  .208   3  18 
Jacob Hurtubise*                 lf  27   2  15   0   0   0  .350     0.5  1.2  .000  .364  .083   0   1 
Greg Jones#                      rf  27   0   2   0   0   0  .000     0.0  0.0  .000  .500  .500   0   0 
Jahmai Jones                     dh  27  28 150   0   0   3  .937    28.3  8.0  .264  .989  .419  19  71 
Carter Kieboom                   1b  27   2   8   0   0   0  .500     0.5  2.3  .000  .333  .000   0   2 
Christian Koss                   2b  27  49 191   3   2   4  .676    19.9  3.9  .103  .602  .172  12  64 
Ryan Kreidler                    cf  27  14  44   2   0   0  .296     1.3  1.0  .000  .294  .158   0   4 
Carson McCusker                  rf  27  10  30   0   0   0  .372     0.9  0.9  .000  .240  .000   0   5 
Drew Millas#                     c   27  16  55   1   0   0  .807     8.7  6.7  .143  .824  .265   6  22 
Kameron Misner*                  cf  27  57 217   1   2   1  .618    20.5  3.5  .132  .592  .249  15  68 
John Rave*                       lf  27  49 175   2   1   1  .590    15.0  3.1  .111  .579  .261   9  47 
Will Robertson*                  lf  27  20  75   0   1   1  .316     1.8  0.8  .014  .226  .043   1  10 
Will Robertson*                  lf  27  17  63   0   1   0  .309     1.6  0.8  .017  .212  .033   1   9 
Will Robertson*                  lf  27   3  12   0   0   1  .350     0.3  0.7  .000  .300  .100   0   1 
Ben Rortvedt*                    c   27  15  58   3   0   1  .636     5.3  3.4  .102  .564  .184   3  16 
Ben Rortvedt*                    c   27  20  70   0   0   0  .297     1.6  0.8  .016  .246  .127   1   7 
Jesus Sanchez*                   lf  27  40 160   0   0   2  .611    13.9  3.1  .144  .567  .253  13  50 
Jesus Sanchez*                   rf  27  75 337   0   2   8  .740    41.1  4.6  .164  .705  .282  26 128 
Tyler Tolbert                    cf  27  12  57   1   2   1  .701     8.6  5.5  .100 1.128  .500   3  19 
Taylor Trammell*                 cf  27  33 135   0   1   0  .630    12.8  3.6  .137  .615  .291  10  39 
Andrew Vaughn                    1b  27  47 193   0   1   4  .531    11.9  2.1  .124  .422  .162  13  58 
Andrew Vaughn                    1b  27  58 254   1   5   8  .869    40.8  6.6  .186  .845  .294  23 109 
Sergio Alcantara#                3b  28   1   4   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
CJ Alexander*                    1b  28   4  17   0   0   0  .353     0.5  1.0  .000  .214  .000   0   3 
Luken Baker                      dh  28   8  41   0   0   3  .689     3.8  3.5  .088  .621  .294   3  11 
David Banuelos                   c   28   0   2   0   0   0  .500     0.1  3.5  .000 1.000  .000   0   0 
Jose Caballero                   ss  28  23  95   1   1   0  .828    16.3  7.0  .190 1.066  .519   9  36 
Jose Caballero                   ss  28  66 275   3   1   1  .638    29.7  4.1  .085  .749  .336  15  73 
Daz Cameron                      rf  28   7  42   0   0   1  .507     2.4  1.9  .098  .412  .146   2  12 
Vinny Capra                      3b  28  24 105   3   2   5  .334     2.3  0.7  .052  .258  .104   3  17 
Vinny Capra                      ss  28  12  46   2   1   1  .443     2.1  1.5  .048  .343  .095   2  10 
Vinny Capra                      3b  28  12  59   1   1   4  .250     0.5  0.2  .056  .204  .111   1   7 
Willi Castro#                    rf  28  26 110   0   0   3  .485     5.7  1.8  .070  .402  .150   4  24 
Willi Castro#                    lf  28  84 344   1   0   9  .743    41.5  4.6  .162  .721  .288  27 123 
Carlos Cortes*                   rf  28  21  99   0   2   3  .866    15.5  6.0  .234  .794  .266  13  51 
Blaine Crim                      1b  28  18  74   0   2   0  .732     8.9  4.4  .262  .712  .354   7  30 
Blaine Crim                      1b  28   3  13   0   0   0  .154     0.1  0.2  .000  .182  .091   0   0 
Blaine Crim                      1b  28  15  61   0   2   0  .851     9.5  6.0  .315  .854  .407   7  30 
Justin Dean                      cf  28   0   2   0   0   0  .000     0.0  0.0  .000  .500  .500   0   0 
Cam Devanney                     3b  28  11  38   0   0   1  .351     0.9  0.7  .028  .242  .056   1   6 
Rafael Devers*                   dh  28  89 395   0   2   9  .807    54.9  5.5  .224  .800  .391  35 154 
Rafael Devers*                   dh  28  73 334   0   2   7  .905    57.5  7.5  .232  .961  .438  33 137 
Nate Eaton                       rf  28  25  90   1   1   1  .731    12.0  5.2  .086  .783  .247   5  31 
Tristin English                  1b  28   7  23   0   0   0  .267     0.4  0.6  .045  .200  .091   1   3 
Hunter Feduccia*                 c   28  28 105   0   2   0  .471     6.3  2.2  .057  .453  .239   5  18 
Hunter Feduccia*                 1b  28   0   3   0   0   0  .333     0.1  1.2  .000  .500  .500   0   0 
Hunter Feduccia*                 c   28  28 102   0   2   0  .474     6.1  2.2  .058  .452  .233   5  18 
Nick Fortes                      c   28  36 141   2   1   4  .637    12.5  3.2  .109  .529  .163   9  45 
Nick Fortes                      c   28  26 101   0   0   3  .655     9.6  3.6  .135  .603  .225   6  31 
Ke'Bryan Hayes                   3b  28  47 178   0   1   4  .656    17.3  3.7  .108  .595  .228  10  54 
Ke'Bryan Hayes                   3b  28  97 392   1   0   8  .569    29.8  2.8  .054  .476  .125  14 107 
Keston Hiura                     1b  28   7  21   0   0   0  .611     1.9  3.7  .056  .571  .056   1   5 
Troy Johnston*                   1b  28  36 121   0   0   1  .750    15.4  5.0  .143  .690  .214   7  47 
Connor Kaiser                    2b  28   5  19   0   0   1  .325     0.3  0.5  .056  .235  .111   1   3 
DaShawn Keirsey*                 rf  28  21  88   1   0   1  .317     2.0  0.7  .071  .354  .179   2  15 
Brandon Lockridge                lf  28  37 148   3   2   2  .574    12.5  3.0  .067  .557  .194   8  40 
Brandon Lockridge                lf  28  24  95   2   0   2  .519     6.5  2.4  .045  .500  .170   4  23 
Brandon Lockridge                rf  28  13  53   1   2   0  .677     6.2  4.5  .109  .676  .239   4  17 
Willie MacIver                   c   28  29 111   0   0   1  .576     9.0  2.9  .137  .536  .235   8  33 
Nick Maton*                      dh  28  15  63   0   0   0  .601     5.2  3.1  .148  .565  .296   4  17 
Owen Miller                      2b  28   4  17   0   0   0  .437     1.0  2.2  .000  .500  .214   0   2 
Coco Montes                      2b  28   3  10   0   0   0  .400     0.4  1.4  .000  .250  .000   0   2 
Josh Naylor*                     1b  28  52 210   0   1   3  .831    35.6  6.9  .191  .914  .345  19  95 
Josh Naylor*                     1b  28  92 394   0   4  14  .807    55.1  5.6  .155  .783  .287  31 156 
James Outman*                    cf  28  12  44   0   0   0  .487     2.5  1.9  .179  .457  .282   3  11 
James Outman*                    cf  28  25 104   0   0   0  .558     7.7  2.6  .189  .519  .284   9  32 
Yohel Pozo                       c   28  38 168   0   1   4  .637    14.8  3.1  .144  .528  .188  13  60 
Ali Sanchez                      c   28   0   2   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Ali Sanchez                      c   28   5  21   0   0   1  .571     1.3  2.1  .095  .412  .095   2   7 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Hayden Senger                    c   28  23  78   1   1   3  .415     2.9  1.2  .014  .290  .056   1  14 
Cal Stevenson*                   cf  28   1   8   0   0   0  .500     0.5  2.3  .000  .333  .000   0   2 
C.J. Stubbs                      c   28   1   3   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Terrin Vavra*                    2b  28   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
David Villar                     1b  28   7  25   0   0   1  .610     2.0  3.2  .050  .588  .250   1   5 
Luke Williams                    ss  28   4  34   0   1   2  .370     1.1  1.0  .065  .448  .258   2   6 
Drew Avans*                      lf  29   5  18   0   1   0  .229     0.3  0.6  .000  .200  .059   0   2 
Drew Avans*                      lf  29   1   3   0   1   0  .000     0.0  0.0  .000  .000  .000   0   0 
Drew Avans*                      lf  29   4  15   0   0   0  .267     0.3  0.7  .000  .231  .067   0   2 
Jose Azocar                      lf  29   5  21   0   0   0  .596     2.0  3.9  .000  .571  .158   0   5 
Jose Azocar                      rf  29   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Jose Azocar                      lf  29   5  20   0   0   0  .628     2.1  4.4  .000  .615  .167   0   5 
Sean Bouchard                    rf  29  14  73   0   0   2  .489     3.8  1.8  .076  .414  .182   2  16 
Jonah Bride                      3b  29  17  80   0   1   1  .511     5.1  2.3  .028  .414  .111   2  17 
Jonah Bride                      dh  29  10  45   0   0   0  .300     1.0  0.8  .000  .250  .125   0   4 
Trenton Brooks*                  dh  29  11  43   0   0   2  .454     1.6  1.2  .122  .351  .171   3  11 
Kody Clemens*                    lf  29   0   7   0   0   0  .143     0.0  0.2  .000  .167  .167   0   0 
Kody Clemens*                    1b  29  93 379   2   2   4  .725    44.1  4.3  .225  .692  .319  35 151 
Mickey Gasper#                   c   29  24 110   1   1   1  .488     6.7  2.2  .074  .457  .200   3  22 
Tristan Gray*                    2b  29  20  86   1   1   0  .693     9.7  4.2  .179  .633  .256   8  32 
Michael Helman                   cf  29  29 110   3   0   0  .744    14.3  4.9  .222  .750  .333  11  45 
Brewer Hicklen                   cf  29   1   4   0   0   0 1.417     2.1 56.3  .000 4.000  .667   0   2 
Derek Hill                       cf  29   2   8   0   0   0  .661     0.8  4.6  .000  .600  .000   0   2 
Derek Hill                       cf  29  34 141   3   0   3  .606    12.4  3.2  .118  .583  .244   9  42 
Alex Jackson                     c   29  27 100   0   0   2  .763    12.2  4.5  .253  .712  .308  13  43 
Bryce Johnson#                   lf  29  16  84   3   0   1  .817    13.1  6.4  .092  .808  .171   5  33 
Daniel Johnson*                  cf  29  13  57   0   0   0  .548     4.1  2.5  .113  .500  .208   4  16 
Daniel Johnson*                  cf  29   7  31   0   0   0  .571     2.5  2.8  .172  .542  .276   3  10 
Daniel Johnson*                  cf  29   6  26   0   0   0  .519     1.6  2.2  .042  .450  .125   1   6 
Corey Julks                      lf  29   4  13   0   1   0  .647     1.3  3.4  .167  .556  .167   2   5 
Ha-Seong Kim                     ss  29  23  98   0   2   2  .684    10.1  3.9  .115  .603  .195   4  32 
Ha-Seong Kim                     ss  29  24  93   0   0   0  .612     9.1  3.7  .107  .627  .262   5  27 
Nathaniel Lowe*                  1b  29  27 119   0   3   1  .790    17.1  6.1  .140  .795  .290   9  42 
Nathaniel Lowe*                  1b  29 116 490   0   2   5  .665    50.1  3.8  .157  .609  .266  35 164 
Jake Mangum#                     lf  29 102 428   1   1   4  .698    51.9  4.7  .072  .668  .170  22 149 
Miles Mastrobuoni*               3b  29  40 175   5   1   2  .620    15.9  3.4  .046  .571  .178   5  45 
Ryan Noda*                       1b  29  16  59   1   0   0  .446     3.1  1.9  .064  .476  .319   1   8 
Ryan Noda*                       rf  29   3  14   0   0   0  .368     0.5  1.3  .000  .364  .154   0   2 
Ryan Noda*                       1b  29  13  45   1   0   0  .472     2.6  2.2  .088  .516  .382   1   6 
Joshua Palacios*                 rf  29  40 145   1   0   0  .596    12.7  3.3  .102  .539  .195   7  39 
Jhonny Pereda                    c   29  22  78   1   0   1  .658     7.9  3.9  .087  .585  .203   6  23 
Jhonny Pereda                    c   29  10  32   1   0   1  .870     5.2  6.6  .138  .800  .207   4  14 
Jhonny Pereda                    c   29  12  46   0   0   0  .508     3.0  2.4  .050  .455  .200   2   9 
Logan Porter                     c   29   2   9   0   0   0  .476     0.5  2.3  .000  .500  .143   0   1 
Amed Rosario                     3b  29   8  33   0   0   1  .788     4.4  4.9  .182  .667  .182   4  16 
Amed Rosario                     3b  29  34 158   0   1   5  .736    18.5  4.4  .155  .646  .209  13  63 
Alan Trejo                       ss  29  13  43   1   1   3  .415     1.2  0.9  .050  .278  .075   2   9 
Jared Young*                     dh  29  13  47   0   1   1  .722     4.7  3.5  .302  .667  .349   5  21 
Miguel Andujar                   dh  30  24 110   0   0   3  .944    21.6  8.4  .184  .913  .243  11  56 
Miguel Andujar                   3b  30  56 231   0   2   5  .765    30.5  5.1  .138  .677  .193  17  95 
Orlando Arcia                    ss  30   9  32   0   0   0  .445     1.6  1.7  .032  .320  .065   1   7 
Orlando Arcia                    3b  30  49 182   0   1   4  .544    11.8  2.2  .099  .430  .145  10  52 
Alex Call                        lf  30  19  85   1   1   1  .717    10.2  4.8  .137  .696  .288   6  28 
Alex Call                        rf  30  54 237   5   3   5  .756    30.0  5.2  .112  .732  .244  14  76 
Carlos Correa                    3b  30  51 220   0   0   7  .785    29.4  5.3  .140  .711  .235  16  86 
Carlos Correa                    ss  30  91 364   0   1  12  .704    39.2  4.1  .119  .602  .196  26 130 
J.C. Escarra*                    c   30  24  98   0   2   1  .629     9.3  3.6  .131  .603  .274   7  28 
Freddy Fermin                    c   30  38 139   6   0   3  .617    11.7  3.0  .094  .495  .142   8  43 
Freddy Fermin                    c   30  54 208   1   0   2  .648    20.1  3.7  .083  .551  .146  10  65 
Jake Fraley*                     rf  30   4  24   0   0   0  .681     2.4  3.8  .043  .529  .043   1   8 
Jake Fraley*                     rf  30  51 193   0   0   1  .719    23.2  4.7  .155  .712  .310  14  65 
Ty France                        1b  30  91 387   0   1   8  .678    40.6  4.0  .106  .600  .163  25 125 
Ty France                        1b  30  22 103   0   2   3  .693    11.0  4.1  .096  .592  .128   7  35 
Garrett Hampson                  lf  30   5  19   0   0   1  .433     0.7  1.1  .056  .313  .111   1   4 
Garrett Hampson                  cf  30   5  31   1   0   1  .271     0.5  0.5  .034  .222  .103   1   4 
Garrett Hampson                  2b  30  12  41   2   0   0  .526     3.0  2.9  .000  .615  .333   0   5 
Cooper Hummel#                   lf  30  25 105   1   0   1  .571     8.3  3.0  .102  .554  .273   3  24 
Cooper Hummel#                   lf  30  25 104   1   0   1  .577     8.4  3.1  .103  .562  .276   3  24 
Cooper Hummel#                   rf  30   0   1   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Danny Jansen                     c   30  16  78   0   1   1  .779    10.7  5.6  .179  .765  .313   6  29 
Danny Jansen                     c   30  66 259   1   1   4  .703    28.7  4.3  .186  .678  .335  19  86 
Isiah Kiner-Falefa               ss  30 117 428   5   1   9  .632    39.8  3.4  .067  .549  .137  23 133 
                                 Batter Profiles FA -- Free agents                                  
                                           Regular season                                           

Name                     Team     P Age  GS  PA  SH  SF GDP   OPS      RC RC27   ISO  TAVG   SEC EBH  TB 
Isiah Kiner-Falefa               3b  30   7  31   0   0   0  .625     2.9  3.4  .133  .522  .133   2  11 
Ramon Laureano                   lf  30  48 198   0   1   4  .812    28.3  5.5  .220  .775  .302  20  89 
Ramon Laureano                   rf  30  70 290   0   3   6  .884    47.9  6.6  .239  .876  .328  32 137 
Nicky Lopez*                     3b  30   5  22   0   0   1  .283     0.4  0.6  .000  .278  .222   0   1 
Nicky Lopez*                     ss  30   1   6   0   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Mason McCoy                      ss  30   5  26   0   0   0  .451     1.6  2.3  .045  .526  .273   1   4 
Billy McKinney*                  rf  30   5  21   0   0   0  .488     1.3  2.1  .050  .375  .100   1   5 
Ryan McMahon*                    3b  30  49 185   0   2   3  .641    17.7  3.7  .126  .605  .264  12  53 
Ryan McMahon*                    3b  30  95 401   0   1   4  .717    46.9  4.5  .186  .692  .329  32 141 
Cedric Mullins*                  cf  30  34 143   2   2   0  .565    12.6  3.3  .099  .606  .298   7  34 
Cedric Mullins*                  cf  30  88 355   1   4   2  .738    44.6  4.8  .204  .750  .344  34 136 
Brian Navarreto                  c   30   3  15   0   1   0  .910     2.5  6.2  .357  .900  .357   3   9 
Dom Nunez*                       c   30   2   7   0   0   0  .571     0.6  3.1  .000  .400  .000   0   2 
Chuckie Robinson                 c   30   1   2   1   0   0  .000     0.0  0.0  .000  .000  .000   0   0 
Zack Short                       ss  30  14  56   1   0   0  .671     5.6  3.7  .160  .600  .220   4  19 
Nick Solak                       1b  30   3  11   0   0   0  .182     0.1  0.2  .000  .100  .000   0   1 
Myles Straw                      cf  30  67 299  11   1   5  .680    32.5  4.1  .105  .640  .217  19  98 
Rowdy Tellez*                    1b  30  51 185   0   2   6  .682    17.1  3.2  .225  .601  .277  17  75 
Rowdy Tellez*                    1b  30  32 127   0   1   3  .772    16.3  4.9  .198  .708  .276  11  53 
Matt Thaiss*                     c   30  27 110   0   1   2  .676    11.4  4.4  .082  .714  .353   5  25 
Matt Thaiss*                     c   30  22  80   1   0   0  .585     6.8  3.3  .056  .509  .141   3  20 
Chadwick Tromp                   c   30   7  22   0   0   1  .515     1.0  1.4  .190  .421  .238   2   7 
Chadwick Tromp                   c   30   2   6   0   0   1  .167     0.0  0.0  .000  .167  .200   0   0 
Chadwick Tromp                   c   30   5  16   0   0   0  .625     1.3  2.7  .250  .538  .250   2   7 
Weston Wilson                    lf  30  36 125   1   0   1  .652    11.4  3.3  .171  .602  .270   9  41 
Harrison Bader                   cf  31  43 194   0   1   2  .824    29.2  6.1  .158  .773  .215  17  82 
Harrison Bader                   lf  31  79 307   0   2   3  .778    42.4  5.4  .181  .784  .303  25 119 
Ryan Fitzgerald*                 ss  31  13  53   0   0   0  .758     7.0  5.1  .261  .784  .435   4  21 
Sam Haggerty#                    lf  31  35 182   1   0   1  .698    21.2  4.5  .117  .714  .265  12  60 
Sam Hilliard*                    lf  31  13  61   0   0   1  .740     7.3  4.6  .216  .767  .431   6  21 
Scott Kingery                    2b  31   9  29   0   0   1  .392     0.8  0.9  .037  .320  .111   1   5 
Vimael Machin*                   3b  31   3  12   0   0   0  .530     0.7  1.9  .273  .500  .364   1   4 
Ryan O'Hearn*                    1b  31  43 183   0   1   1  .736    23.5  5.3  .110  .689  .209  10  63 
Ryan O'Hearn*                    1b  31  86 361   0   3  10  .837    54.5  6.2  .180  .829  .322  29 144 
Pablo Reyes                      2b  31   7  34   1   0   0  .468     2.0  2.1  .032  .400  .129   1   7 
Brett Sullivan*                  c   31   3   9   0   1   0  .500     0.7  3.1  .000  .600  .167   0   1 
Ramon Urias                      2b  31  23 101   0   1   1  .640     9.7  3.5  .149  .568  .223   8  35 
